track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023,2953,553634067,49,66,170,D,Minor,81,56,48,21,0,8,33,Felicità
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2023,356,147290338,4,4,182,A,Major,57,80,59,8,0,6,5,Felicità
SABOR FRESA,Fuerza Regida,2023,250,78300654,16,10,130,G,Minor,79,96,86,9,0,9,9,Felicità
Escapism. - Sped Up,"RAYE, 070 Shake",2022,1368,184308753,12,11,108,F#,Minor,44,38,77,9,0,9,20,Felicità
Until I Found You,Stephen Sanchez,2021,4427,726434358,69,154,202,A#,Major,34,25,51,69,0,18,4,Felicità
MAMIII,"Karol G, Becky G",2022,6809,716591492,151,175,94,E,Minor,84,90,70,9,0,14,8,Felicità
With you,"HA SUNG WOON, Jimin",2022,343,240580042,4,11,150,D#,Major,53,14,43,64,0,13,3,Tristezza
On BS,"Drake, 21 Savage",2022,1338,170413877,9,7,158,A,Major,84,33,36,2,0,39,59,Ballabile
Astronaut In The Ocean,Masked Wolf,2019,7191,1138474110,146,478,150,E,Minor,78,47,70,18,0,15,9,Carica
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2022,2460,309483971,53,56,94,F,Minor,74,64,73,6,0,10,6,Ballabile
SUPERMODEL,Mï¿½ï¿½ne,2022,2265,231657891,93,173,121,G,Major,64,80,88,0,0,12,6,Felicità
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2023,381,46065667,23,6,134,B,Major,76,61,58,6,0,16,3,Ballabile
X SI VOLVEMOS,"Karol G, Romeo Santos",2023,2127,266624541,45,53,178,C#,Minor,79,58,78,34,0,11,25,Carica
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2022,2110,286400165,17,19,88,G,Minor,68,17,71,15,0,11,5,Ballabile
GATï¿½ï¿½,"Maldy, Karol G",2022,3328,322336177,39,57,93,B,Minor,63,34,86,26,0,21,39,Ballabile
Polaroid Love,ENHYPEN,2022,461,211372494,10,17,138,G,Minor,74,65,67,46,0,36,4,Felicità
Pope Is a Rockstar,SALES,2016,1966,156658366,4,50,90,E,Minor,73,31,45,85,24,11,3,Relax
VOID,Melanie Martinez,2023,596,67070410,29,12,100,A,Major,72,42,66,18,4,19,4,Ballabile
Chanel,"Becky G, Peso Pluma",2023,681,161460990,15,21,132,D,Major,85,53,68,40,0,9,4,Carica
La Corriente,"Tony Dize, Bad Bunny",2022,1796,479655659,8,18,196,B,Minor,66,58,79,23,0,22,20,Carica
Party,"Bad Bunny, Rauw Alejandro",2022,3185,614555082,38,37,97,A,Major,83,47,80,2,0,24,9,Ballabile
Do I Wanna Know?,Arctic Monkeys,2013,33783,1788326445,133,"2,733",85,F,Major,55,42,53,17,0,22,3,Felicità
Back To December (Taylor's Version),Taylor Swift,2023,139,39228929,16,5,142,D,Major,50,20,64,1,0,12,3,Felicità
La Loto,"Anitta, Tini, Becky G",2022,945,121189256,49,57,90,C#,Major,85,80,83,10,0,8,11,Felicità
Peru,"Ed Sheeran, Fireboy DML",2021,2999,261286503,60,154,108,G,Minor,96,71,42,57,0,8,9,Ballabile
SORRY NOT SORRY,"Tyler, The Creator",2023,709,58473276,8,13,96,F#,Minor,48,50,80,40,0,37,20,Felicità
Here With Me,d4vd,2022,3246,635412045,94,68,132,E,Major,58,27,48,50,0,12,3,Tristezza
Every Summertime,NIKI,2021,1211,290228626,30,5,79,F#,Major,63,76,67,38,0,6,4,Felicità
Obsessed,"Abhijay Sharma, Riar Saab",2022,161,71007139,10,2,135,F,Minor,80,85,74,62,0,8,9,Felicità
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",2023,1208,146409671,10,20,94,B,Major,82,53,67,34,0,9,8,Ballabile
Callaita,"Bad Bunny, Tainy",2019,9539,1304313953,162,355,176,D,Major,61,24,62,60,0,24,31,Felicità
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2021,772,263894529,7,89,158,G#,Minor,46,62,83,53,0,97,28,Carica
Never Felt So Alone,Labrinth,2023,1730,117747907,46,51,98,F,Major,44,36,41,50,0,38,5,Relax
Say Yes To Heaven,Lana Del Rey,2023,2000,127567540,49,63,100,F#,Minor,49,17,35,71,9,11,3,Tristezza
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",2022,894,176103902,28,54,130,F#,Major,95,83,57,54,0,10,25,Felicità
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011,6074,1953533826,201,"6,551",146,D,Major,63,88,93,3,0,10,8,Felicità
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023,182,54225632,3,1,110,G,Minor,76,96,72,32,0,9,4,Felicità
Un Verano Sin Ti,Bad Bunny,2022,1004,283332261,8,9,188,F,Minor,50,41,50,69,0,12,6,Felicità
Malas Decisiones,Kenia OS,2022,542,156214700,23,21,110,G#,Minor,81,64,79,5,0,31,3,Carica
ceilings,Lizzy McAlpine,2022,3242,293186992,67,48,148,A,Major,51,27,33,48,0,22,3,Tristezza
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023,553,141381703,43,45,125,B,Major,80,89,83,31,0,8,4,Felicità
The Astronaut,Jin,2022,481,203436468,10,15,125,F,Major,54,22,76,0,0,14,3,Felicità
SPIT IN MY FACE!,ThxSoMch,2022,573,301869854,1,18,166,C#,Major,70,57,57,9,20,11,7,Felicità
So Good,Halsey,2022,1057,91781263,51,19,83,D#,Minor,63,29,62,4,0,18,4,Ballabile
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",1930,323,90598517,4,14,130,F#,Minor,65,49,80,22,4,7,5,Carica
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2021,6026,566954746,171,187,120,B,Minor,77,51,79,20,0,26,6,Carica
Perfect,Ed Sheeran,2017,16596,2559529074,7,"2,094",95,G#,Major,60,17,45,16,0,11,2,Ballabile
HAPPY,NF,2023,660,52722996,22,11,106,G,Major,73,22,86,31,0,12,4,Ballabile
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",2022,859,178512385,14,11,82,A#,Major,79,48,84,13,0,21,23,Ballabile
Feliz Cumpleaï¿½ï¿½os Fe,Feid,2022,3430,601863821,45,52,95,F,Major,87,57,55,10,0,29,7,Ballabile
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",2022,1267,231332117,41,56,93,F#,Minor,84,96,79,43,0,18,11,Felicità
Down Under (feat. Colin Hay),"Luude, Colin Hay",2021,3541,252871192,57,50,172,B,Minor,31,4,86,1,0,28,17,Felicità
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",2022,1930,191333656,24,17,122,E,Minor,75,45,63,6,0,35,12,Carica
A Tale By Quincy,The Weeknd,2022,733,41924466,0,2,94,F,Minor,46,55,50,71,0,10,11,Relax
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2023,654,100409613,11,18,124,B,Minor,72,79,78,55,0,15,30,Felicità
Nobody Gets Me,SZA,2022,2536,284908316,59,58,100,G,Major,36,28,28,81,0,18,3,Relax
The Next Episode,"Dr. Dre, Snoop Dogg",1999,31762,843309044,142,"5,451",95,D#,Minor,92,31,89,3,0,8,25,Ballabile
